Pnum,Condition,IBArticle,EBArticle,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Accountability_4_REV,Accountability_5,Accountability_5_REV,Accountability_6,xAccountability,Concern_1,Concern_1_REV,Concern_2,Concern_2_REV,Concern_3,Concern_3_REV,Concern_4,Concern_5,Concern_6,xConcern,Reform_1,Reform_2,Reform_3,Reform_4,Reform_5,xReform,Punish_1,Punish_2,Punish_3,xPunish,BiasPercep_1,BiasPercep_2,BiasPercep_3,BiasPercep_3_REV,BiasPercep_4,xBiasPercep,Attribution,MCP_1,MCP_2,MCP_3,MCP_4,MCP_5,xEMS,MCP_6,MCP_7,MCP_7_REV,MCP_8,MCP_9,MCP_10,xIMS,BiasAware_1,BiasAware_2,BiasAware_3,BiasAware_4,BiasAware_4_REV,xBiasAware,IB_Know_1,IB_Know_2,IB_Know_3,xIBKnow,ArtCheck1,ArtCheck2,BiasDef,Job,MedicalProf,GunOwn,MarijuanaUse,Age,Gender,Gender_Recoded,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_6_TEXT,White_Nonwhite,Cons,Lib,Lib_REV,xCons,Party,Party_TEXT,Exclude,Suspicion,Feedback,Hype,Prev
1,-0.5,0,1,5,5,6,3,5,2,6,6,5.5,3,5,2,6,2,6,7,7,7,6.33,5,5,5,7,6,5.6,6,5,7,6,6,4,5,3,5,4.5,3,5,4,7,5,4,5,5,5,3,6,5,6,5,4,4,6,3,5,4.75,6,6,6,6,2,3,3,retail,0,2,2,23,1,-0.5,0,0,0,1,0,0,,0.5,4,4,4,4,4,,1,0,,,2
2,-0.5,0,1,4,6,6,2,6,2,6,6,5.67,2,6,1,7,2,6,7,7,6,6.5,7,7,7,4,7,6.4,7,7,5,6.33,3,4,5,3,3,3.25,5,4,4,4,4,4,4,7,1,7,7,7,7,7,3,4,5,4,4,4,5,5,6,5.33,3,3,3,student,0,2,2,22,2,0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,no,not sure,2
3,-0.5,0,1,7,7,7,1,7,3,5,6,6.5,2,6,3,5,3,5,7,7,7,6.17,7,7,7,5,6,6.4,7,7,6,6.67,1,1,7,1,1,1,1,5,4,7,3,3,4.4,7,1,7,7,7,7,7,1,1,1,7,1,1,6,6,6,6,3,3,3,Phone specialist,0,2,1,32,1,-0.5,0,0,1,0,0,0,,-0.5,2,5,3,2.5,1,,1,0,,Seeing how people feel about opinions,2
4,-0.5,0,1,5,3,4,4,4,4,4,4,4,4,4,4,4,3,5,4,3,4,4,4,5,3,4,3,3.8,4,3,4,3.67,4,5,4,4,3,4,4,5,5,3,4,4,4.2,4,4,4,4,4,3,3.8,4,3,4,4,4,3.75,4,5,4,4.33,3,3,3,Assistant Manager,0,2,2,28,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,nope,not sure,2
5,-0.5,0,1,6,6,6,2,6,6,2,6,5.33,2,6,2,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,6,2,3,2,2,2,2,1,2,1.8,7,1,7,7,7,7,7,2,2,2,6,2,2,6,6,6,6,3,3,3,Waitress,0,2,2,29,2,0.5,1,0,0,0,0,0,,0.5,4,4,4,4,3,,1,0,no,no,2
6,-0.5,0,1,6,6,6,2,6,2,6,6,6,2,6,2,6,6,2,6,6,2,4.67,6,6,6,6,6,6,6,6,6,6,2,2,6,2,2,2,5,2,2,2,2,2,2,6,2,6,6,6,6,6,2,2,2,6,2,2,6,6,6,6,3,3,3,military,0,1,2,29,1,-0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,3,,1,0,,,2
7,-0.5,0,1,5,6,6,3,5,1,7,6,5.83,2,6,2,6,5,3,6,6,6,5.5,7,5,7,6,6,6.2,6,7,6,6.33,5,5,5,3,4,4.25,7,4,3,4,4,2,3.4,7,1,7,7,7,7,7,4,2,5,3,5,4,7,7,7,7,1,3,3,Unemployed,0,1,1,27,1,-0.5,0,0,1,0,0,0,,-0.5,2,7,1,1.5,1,,1,0,,,2
8,-0.5,0,1,7,7,7,2,6,3,5,6,6.33,2,6,2,6,2,6,7,7,7,6.5,6,6,6,6,6,6,6,6,6,6,3,5,2,6,3,4.25,2,5,6,5,6,5,5.4,2,4,4,3,2,2,2.6,5,3,2,2,6,4,6,6,4,5.33,3,3,3,Self-employed,0,1,1,30,1,-0.5,0,0,1,0,0,0,,-0.5,3,6,2,2.5,3,,1,0,No,Check our opinions on bias,2
9,-0.5,0,1,6,5,5,1,7,7,1,7,5.17,2,6,1,7,1,7,6,7,1,5.67,7,4,7,4,4,5.2,2,4,4,3.33,6,5,5,3,5,4.75,5,4,1,1,4,1,2.2,7,2,6,7,5,7,6.4,5,3,6,2,6,5,7,7,7,7,3,3,3,teacher,0,2,2,32,2,0.5,1,0,0,0,0,0,,0.5,6,3,5,5.5,3,,1,0,,views on implicit bias,2
10,-0.5,0,1,6,7,7,6,2,2,6,7,5.83,6,2,6,2,6,2,6,6,2,3.33,6,2,7,2,2,3.8,2,2,2,2,2,2,6,2,2,2,6,4,2,5,2,2,3,6,3,5,6,5,6,5.6,2,2,5,6,2,2.75,6,5,6,5.67,3,3,3,Software Engineer,0,1,1,25,1,-0.5,0,0,1,0,0,0,,-0.5,5,6,2,3.5,4,Libertarian,1,0,no,Something about bias,2
11,-0.5,0,1,5,5,5,3,5,4,4,5,4.83,4,4,5,3,5,3,5,6,5,4.33,6,5,5,5,4,5,5,4,5,4.67,6,5,5,3,5,4.75,3,6,4,5,6,6,5.4,5,6,2,6,6,4,4.6,4,3,4,5,3,3.5,5,6,6,5.67,3,3,3,analyst,0,2,2,33,2,0.5,0,1,0,0,0,0,,0.5,5,5,3,4,3,,1,0,,,2
12,-0.5,0,1,2,5,5,2,6,5,3,3,4,6,2,6,2,6,2,3,2,2,2.17,2,2,3,2,1,2,2,3,2,2.33,3,5,1,7,2,4.25,2,2,3,3,3,3,2.8,2,6,2,1,2,1,1.6,6,2,2,6,2,3,6,5,3,4.67,3,3,3,Automotive mechanic,0,2,2,34,1,-0.5,0,0,1,0,0,0,,-0.5,6,2,6,6,2,,1,0,"The question about gun ownership didn't have a ""prefer not to answer"" option like the marijuana usage question did.",I have no idea.,1
13,-0.5,0,1,2,2,2,5,3,6,2,6,2.83,5,3,6,2,5,3,5,6,5,4,5,3,6,6,4,4.8,1,1,2,1.33,3,3,5,3,3,3,6,3,2,2,1,2,2,6,4,4,6,7,6,5.8,3,3,2,6,2,2.5,3,3,4,3.33,3,3,3,General factory worker,0,2,2,24,1,-0.5,1,0,0,0,0,0,,0.5,2,7,1,1.5,1,,1,0,No comment,To see how we view bias,2
14,-0.5,0,1,5,5,5,3,5,3,5,7,5.33,2,6,3,5,5,3,6,5,6,5.17,6,5,6,2,5,4.8,1,4,2,2.33,6,6,2,6,6,6,3,7,7,6,7,7,6.8,3,4,4,3,3,3,3.2,6,5,6,2,6,5.75,5,5,6,5.33,3,3,3,IT,0,2,2,30,1,-0.5,1,0,0,0,0,0,,0.5,2,5,3,2.5,3,,1,0,,Testing how people judge unconscious bias from other people.,2
15,-0.5,0,1,4,7,7,1,7,1,7,7,6.5,4,4,4,4,4,4,7,7,7,5.5,7,7,7,4,5,6,4,7,4,5,7,7,1,7,7,7,4,5,5,4,4,4,4.4,4,4,4,4,4,4,4,5,4,4,5,3,4,7,7,7,7,3,3,3,Unemployed,0,2,2,25,2,0.5,0,0,0,1,0,0,,0.5,2,7,1,1.5,1,,1,0,,How we perceive others when they are bias and how we perceive our own bias of others,2
16,-0.5,0,1,6,6,6,2,6,6,2,6,5.33,2,6,2,6,2,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,2,2,6,2,2,2,6,2,2,6,2,2,2.8,6,2,6,6,6,6,6,2,2,2,6,2,2,6,6,6,6,3,3,3,Sales Rep,0,1,1,26,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,None,I dont know,2
17,-0.5,0,1,6,5,3,5,3,2,6,4,4.5,5,3,5,3,4,4,3,4,5,3.67,5,4,3,3,5,4,5,5,6,5.33,5,5,4,4,3,4.25,4,5,5,6,5,2,4.6,4,5,3,3,3,5,3.6,4,6,5,5,3,4.5,5,5,4,4.67,1,3,4,chef,0,2,2,23,1,-0.5,0,0,1,0,0,0,,-0.5,5,4,4,4.5,2,,1,0,,no clue,2
18,-0.5,0,1,2,4,5,3,5,5,3,6,4.17,5,3,6,2,6,2,3,5,3,3,6,5,6,3,2,4.4,1,3,2,2,5,6,3,5,5,5.25,5,2,2,3,2,2,2.2,6,5,3,6,3,6,4.8,5,2,3,5,3,3.25,6,6,6,6,3,3,3,Contractor,0,1,2,35,1,-0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,No,To see how the article effects the answers to the questions,2
19,-0.5,0,1,2,4,5,2,6,3,5,4,4.33,5,3,3,5,3,5,5,2,5,4.17,3,4,2,4,5,3.6,5,2,2,3,5,5,4,4,3,4.25,6,6,4,3,3,3,3.8,5,4,4,6,4,6,5,3,4,5,3,5,4.25,4,4,4,4,3,3,3,teacher assistant,0,2,3,23,2,0.5,0,0,1,0,0,0,,-0.5,3,5,3,3,1,,1,0,no,To see how I felt,2
20,-0.5,0,1,4,2,4,4,4,6,2,4,3.33,6,2,6,2,6,2,4,2,4,2.67,5,2,5,2,2,3.2,2,2,2,2,2,2,7,1,2,1.75,5,1,1,1,1,1,1,6,2,6,7,7,7,6.6,1,1,1,7,1,1,6,6,2,4.67,3,3,3,Team manager,0,1,2,41,1,-0.5,0,0,1,0,0,0,,-0.5,7,1,7,7,3,,1,0,"The questions were well stated. The ideas of doctor bias are new to me, but it gets me thinking",not sure,2
21,-0.5,0,1,7,7,7,2,6,5,3,7,6.17,2,6,5,3,5,3,7,6,5,5,5,3,6,3,1,3.6,5,7,5,5.67,1,2,7,1,1,1.25,2,1,1,7,1,1,2.2,1,2,6,7,6,7,5.4,1,1,1,6,2,1.25,7,7,7,7,3,2,3,software engineer,0,2,2,33,1,-0.5,0,1,1,0,0,0,,0.5,2,6,2,2,3,,1,0,no,see if people believe implicit bias is real,2
22,-0.5,0,1,6,7,7,1,7,2,6,7,6.67,2,6,2,6,1,7,7,6,7,6.5,7,6,2,6,5,5.2,5,7,6,6,3,3,6,2,6,3.5,1,1,1,2,1,1,1.2,7,1,7,7,7,7,7,1,2,2,6,2,1.75,3,2,2,2.33,3,3,3,electrician apprentice,0,1,1,31,1,-0.5,1,0,0,0,0,0,,0.5,1,6,2,1.5,1,,1,0,,,2
23,-0.5,0,1,5,5,5,2,6,3,5,6,5.33,5,3,5,3,5,3,6,5,6,4.33,4,5,6,3,3,4.2,5,4,4,4.33,4,6,5,3,4,4.25,4,6,6,6,6,6,6,6,6,2,6,6,6,5.2,4,6,5,4,4,4.75,5,5,5,5,3,3,3,self-employed,0,2,2,29,2,0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,,,2
24,-0.5,0,1,5,6,7,3,5,4,4,6,5.5,5,3,5,3,5,3,6,6,6,4.5,7,4,7,6,4,5.6,2,4,2,2.67,3,2,6,2,1,2,6,4,7,7,7,4,5.8,7,1,7,7,7,7,7,3,2,4,3,5,3.5,7,7,7,7,3,3,3,radiology technician,1,2,2,55,2,0.5,0,0,1,0,0,0,,-0.5,1,6,2,1.5,1,,1,0,"the specific cases of doctor bias struck me as trivial compared to real ones that have been demonstrated (diagnosing women with heart attacks, etc)",perception of expressing political ideology in professions,2
25,-0.5,0,1,7,6,7,2,6,1,7,7,6.67,5,3,2,6,5,3,7,7,3,4.83,7,5,7,2,2,4.6,5,7,5,5.67,6,6,2,6,6,6,5,3,5,5,5,3,4.2,7,2,6,7,6,6,6.4,5,6,6,2,6,5.75,6,6,7,6.33,3,3,3,Registered Nurse,1,2,1,29,1,-0.5,0,1,0,0,0,0,,0.5,1,6,2,1.5,1,,1,0,I do not.,How do we perceive the acceptability of bias in sensitive professions?,2
26,-0.5,0,1,4,6,6,2,6,2,6,5,5.5,2,6,2,6,2,6,7,5,7,6.17,4,6,5,2,5,4.4,3,5,4,4,1,1,7,1,1,1,4,1,1,1,1,1,1,4,1,7,4,6,4,5,1,1,1,7,1,1,6,6,1,4.33,3,3,3,mturk,0,2,1,55,2,0.5,0,0,1,0,0,0,,-0.5,5,1,7,6,3,,1,0,no,I don't know.,2
27,-0.5,0,1,4,6,6,4,4,3,5,7,5.33,5,3,5,3,5,3,4,5,5,3.83,6,5,7,5,4,5.4,2,6,4,4,5,5,2,6,3,4.75,5,5,4,4,3,2,3.6,6,2,6,6,6,7,6.2,5,4,5,3,5,4.75,2,5,4,3.67,3,3,3,Freelance graphic designer,0,1,2,20,1,-0.5,0,0,1,0,0,0,,-0.5,3,5,3,3,1,,1,0,,"To evaluate our personal ideals as they relate to social biases, and subsequently see how our beliefs affect our interpretation of the legitimacy of professionals (i.e. doctors or lawyers) acting in this manner.",2
28,-0.5,0,1,6,6,6,2,6,2,6,6,6,2,6,2,6,6,2,6,6,6,5.33,6,6,6,2,6,5.2,6,5,3,4.67,6,6,6,2,6,5,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,2,3,3,catsitter,0,2,1,25,2,0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,no,to see how people talk about their own biases after reading about bias,1
29,-0.5,0,1,5,5,5,3,5,4,4,4,4.67,5,3,5,3,6,2,5,5,3,3.5,3,4,3,3,4,3.4,4,4,3,3.67,3,3,3,5,3,3.5,4,4,3,3,3,4,3.4,3,3,5,4,4,4,4,3,3,3,3,5,3.5,2,4,4,3.33,3,3,4,paralegal,0,1,2,53,2,0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,no,bias,2
30,-0.5,0,1,7,7,7,1,7,1,7,7,7,1,7,1,7,4,4,7,7,4,6,7,7,7,7,7,7,4,7,7,6,4,4,4,4,4,4,1,1,6,7,4,2,4,6,1,7,7,6,6,6.4,1,1,1,7,1,1,5,5,4,4.67,3,3,3,Services,0,1,2,22,2,0.5,0,0,1,0,0,0,,-0.5,7,1,7,7,2,,1,0,,To see how people feel about prejudice and how they feel about people who are higher up using biases,2
31,-0.5,0,1,6,7,7,1,7,2,6,6,6.5,2,6,2,6,2,6,6,7,6,6.17,6,6,6,5,5,5.6,5,6,6,5.67,5,5,3,5,5,5,5,2,2,3,2,2,2.2,7,2,6,7,7,7,6.8,5,5,5,3,5,5,6,6,6,6,3,3,3,Science Policy Specialist,0,2,1,32,1,-0.5,0,0,1,0,0,0,,-0.5,3,6,2,2.5,1,,1,0,no,i'm not too sure,2
32,-0.5,0,1,6,6,6,2,6,2,6,6,6,2,6,2,6,2,6,6,6,6,6,6,6,5,5,5,5.4,6,6,6,6,6,6,2,6,6,6,6,1,1,1,1,1,1,1,6,2,1,1,1,1.2,6,1,6,6,2,3.75,6,6,6,6,3,3,3,dishwasher,0,2,2,31,2,0.5,0,0,1,0,0,0,,-0.5,5,3,5,5,3,,1,0,,perceptions of political bias,2
33,-0.5,0,1,4,5,6,3,5,4,4,5,4.83,5,3,5,3,5,3,6,5,4,4,4,5,5,3,1,3.6,4,5,3,4,5,5,5,3,4,4.25,5,4,3,5,4,2,3.6,5,3,5,5,5,5,5,5,2,3,4,4,3.5,6,5,5,5.33,3,3,3,cartographer,0,2,2,27,1,-0.5,0,0,1,0,0,0,,-0.5,5,5,3,4,4,libertarian,1,0,,,2
34,-0.5,0,1,5,6,5,3,5,7,1,7,4.83,3,5,3,5,3,5,5,3,6,4.83,6,5,7,2,4,4.8,2,3,1,2,6,6,2,6,6,6,5,5,6,2,2,2,3.4,2,3,5,3,3,1,2.8,5,3,5,3,5,4.5,5,5,6,5.33,3,3,3,Student,0,2,2,25,1,-0.5,0,0,1,0,0,0,,-0.5,1,6,2,1.5,1,,1,0,,,2
35,-0.5,0,1,6,6,6,1,7,1,7,7,6.5,1,7,1,7,1,7,7,6,7,6.83,6,6,7,6,6,6.2,5,6,6,5.67,6,6,3,5,6,5.75,4,2,2,2,1,1,1.6,2,6,2,1,2,1,1.6,6,2,2,6,2,3,5,5,4,4.67,2,3,3,Sales Rep,0,1,2,43,1,-0.5,0,0,1,0,0,0,,-0.5,6,1,7,6.5,2,,1,0,No,To see how people feel about political bias,2
36,-0.5,0,1,7,7,7,7,1,2,6,7,5.83,2,6,2,6,2,6,7,7,7,6.5,6,6,6,6,6,6,4,6,6,5.33,2,2,2,6,2,3,2,2,2,2,2,2,2,6,2,6,6,6,6,6,2,2,2,6,2,2,6,6,6,6,3,3,3,manager,0,1,2,35,1,-0.5,0,0,1,0,0,0,,-0.5,5,5,3,4,3,,1,0,interesting study,people being bias,2
37,-0.5,0,1,6,6,6,2,6,4,4,6,5.67,2,6,2,6,6,2,6,6,6,5.33,5,5,5,5,5,5,4,5,6,5,5,5,2,6,5,5.25,5,2,2,2,2,2,2,6,3,5,6,6,5,5.6,5,2,3,5,3,3.25,6,3,4,4.33,3,3,3,Purchasing agent,0,1,1,29,2,0.5,0,0,1,0,0,0,,-0.5,6,2,6,6,2,,1,0,No.,I'm not sure.,2
38,-0.5,0,1,6,6,6,2,6,2,6,6,6,4,4,4,4,6,2,6,5,2,3.83,7,5,6,6,4,5.6,4,6,3,4.33,2,1,6,2,2,1.75,6,1,1,1,1,1,1,6,4,4,7,5,7,5.8,1,1,1,6,2,1.25,6,6,6,6,3,3,3,currency analyst,0,2,2,32,1,-0.5,1,0,0,0,0,0,,0.5,2,6,2,2,1,,1,0,,,2
39,-0.5,0,1,5,6,6,2,6,3,5,6,5.67,3,5,2,6,3,5,6,6,6,5.67,6,6,6,6,6,6,3,5,5,4.33,5,5,5,3,5,4.5,6,2,2,2,2,2,2,6,2,6,6,6,6,6,3,2,2,6,2,2.25,5,5,6,5.33,3,3,3,Laboratory technician,0,2,2,28,1,-0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,No,If you are biased.,2
40,-0.5,0,1,7,7,7,1,7,1,7,7,7,1,7,1,7,1,7,7,7,7,7,7,7,7,7,5,6.6,5,6,5,5.33,5,3,7,1,3,3,2,2,2,2,2,2,2,7,2,6,7,7,7,6.8,2,2,2,6,2,2,6,6,6,6,3,3,3,Sales manager,0,2,2,26,2,0.5,0,0,1,0,0,0,,-0.5,6,1,7,6.5,2,,1,0,,Perception of implicit bias on doctors,2
41,-0.5,0,1,7,7,7,3,5,4,4,7,6.17,3,5,4,4,6,2,7,6,4,4.67,7,5,7,4,2,5,7,7,5,6.33,5,6,3,5,4,5,5,5,5,5,5,5,5,7,3,5,7,5,7,6.2,6,6,6,2,6,6,5,5,5,5,3,3,3,information technology project manager,0,1,2,43,1,-0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,3,,1,0,Nothing else I can think of,"Just to see my reactions to the research mentioned in the article, I guess.",2
42,-0.5,0,1,6,4,7,1,7,4,4,6,5.67,5,3,5,3,5,3,4,7,4,4,5,4,6,4,4,4.6,5,5,4,4.67,7,7,1,7,7,7,4,5,5,5,5,5,5,1,7,1,1,1,1,1,4,3,3,5,3,3.25,5,5,5,5,3,3,3,customer service rep,0,1,2,46,1,-0.5,0,0,1,0,0,0,,-0.5,7,1,7,7,2,,1,0,No.,To see how I felt about the study.,2
43,-0.5,0,1,7,7,7,1,7,1,7,1,6,5,3,2,6,7,1,7,7,7,5.17,5,7,4,7,7,6,5,7,7,6.33,5,7,1,7,1,5,7,1,1,5,1,1,1.8,3,5,3,7,3,1,3.4,2,1,6,5,3,3,5,2,5,4,3,3,3,Mturk,0,1,1,40,1,-0.5,0,0,1,0,0,0,,-0.5,3,3,5,4,3,,1,0,,To see how people feel about bias,2
44,-0.5,0,1,7,7,7,7,1,4,4,6,5.33,5,3,5,3,6,2,7,7,6,4.67,7,6,6,4,6,5.8,2,6,2,3.33,6,6,6,2,6,5,5,5,6,6,6,4,5.4,6,4,4,7,4,6,5.4,5,6,4,3,5,5,6,6,6,6,1,3,3,Information Technology Administrator,0,1,3,29,1,-0.5,0,0,1,0,0,0,,-0.5,4,5,3,3.5,3,,1,0,It really struck me as hypocritical asking the questions about how I felt about doctors having bias and then immediately asking me if I am conscious of my bias.  I realized how easy it can be for a doctor to show such biases even though we want them not to simply because it is something as important as health care.,Possibly to uncover how possible it is to make biases not a factor in anything that people do?,2
45,-0.5,0,1,6,6,6,4,4,3,5,6,5.5,6,2,5,3,6,2,5,6,5,3.83,6,4,6,5,4,5,6,5,4,5,6,5,6,2,2,3.75,5,6,6,6,6,6,6,7,2,6,7,7,6,6.6,2,2,3,6,2,2.25,6,6,6,6,3,3,3,trainer,0,1,2,52,1,-0.5,0,0,1,0,0,0,,-0.5,2,7,1,1.5,1,,1,0,Interesting article,To compare survey answers with political leanings? I don't know.,3
46,-0.5,0,1,6,6,7,2,6,3,5,7,6.17,3,5,3,5,5,3,7,7,6,5.5,6,6,7,6,5,6,5,5,5,5,5,6,3,5,4,5,5,7,6,6,7,6,6.4,5,4,4,4,4,5,4.4,6,4,5,3,5,5,6,6,5,5.67,3,3,3,Homemaker,0,2,2,30,2,0.5,0,1,0,0,0,0,,0.5,3,5,3,3,1,,1,0,No.,How the article affects how we feel about biases.,2
47,-0.5,0,1,6,6,6,3,5,3,5,6,5.67,2,6,1,7,1,7,5,3,5,5.5,5,5,6,5,5,5.2,5,6,5,5.33,3,7,7,1,3,3.5,2,5,3,3,5,3,3.8,5,3,5,3,3,3,3.8,3,2,2,2,6,3.25,5,5,5,5,3,3,3,ssd,0,2,2,18,1,-0.5,0,1,1,0,0,1,,0.5,5,1,7,6,2,,1,0,no,koroseageruyo!,2
48,-0.5,0,1,5,7,6,4,4,3,5,6,5.5,4,4,5,3,6,2,5,5,5,4,4,3,4,3,3,3.4,2,3,1,2,6,7,1,7,6,6.5,5,3,4,4,3,4,3.6,2,5,3,4,2,3,2.8,6,4,4,4,4,4.5,5,5,5,5,3,3,3,it manager,0,1,2,42,1,-0.5,0,0,1,0,0,0,,-0.5,1,6,2,1.5,1,,1,0,,no idea,2
49,-0.5,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,26,0,1,1,26,1,-0.5,0,0,1,0,0,0,,-0.5,6,1,7,6.5,2,,1,0,,Perceptions about doctors asking about my guns,2
50,-0.5,0,1,6,5,7,2,6,3,5,7,6,2,6,1,7,5,3,7,6,6,5.83,4,4,5,5,4,4.4,4,5,4,4.33,2,2,6,2,2,2,4,1,1,1,1,1,1,7,1,7,7,7,7,7,2,2,2,6,2,2,7,7,6,6.67,3,3,3,Secretary,0,2,2,36,2,0.5,0,0,1,0,0,0,,-0.5,3,6,2,2.5,3,,1,0,It was very interesting.  Thank you.,Perception of bias in certain professions?,2
51,-0.5,0,1,3,6,6,4,4,2,6,7,5.33,6,2,6,2,7,1,7,6,2,3.33,7,3,7,2,1,4,1,4,2,2.33,5,4,3,5,5,4.75,6,4,4,6,2,2,3.6,7,1,7,7,7,7,7,6,6,6,1,7,6.25,7,7,7,7,3,3,3,Teacher,0,2,1,28,1,-0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,N/A,To examine attitudes about moral culpability and implicit bias.,2
52,-0.5,0,1,7,7,7,1,7,2,6,7,6.83,2,6,1,7,2,6,7,7,7,6.67,7,7,7,7,7,7,7,7,6,6.67,1,2,7,1,1,1.25,2,1,1,1,1,1,1,7,1,7,7,7,7,7,1,1,1,6,2,1.25,7,7,7,7,3,3,3,Self Employed,0,1,2,43,2,0.5,0,0,1,0,0,0,,-0.5,3,5,3,3,3,,1,0,,To get an idea of how people feel about biases and how those thoughts might affect others.,2
