Pnum,Condition,IBArticle,EBArticle,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Accountability_4_REV,Accountability_5,Accountability_5_REV,Accountability_6,xAccountability,Concern_1,Concern_1_REV,Concern_2,Concern_2_REV,Concern_3,Concern_3_REV,Concern_4,Concern_5,Concern_6,xConcern,Reform_1,Reform_2,Reform_3,Reform_4,Reform_5,xReform,Punish_1,Punish_2,Punish_3,xPunish,BiasPercep_1,BiasPercep_2,BiasPercep_3,BiasPercep_3_REV,BiasPercep_4,xBiasPercep,Attribution,MCP_1,MCP_2,MCP_3,MCP_4,MCP_5,xEMS,MCP_6,MCP_7,MCP_7_REV,MCP_8,MCP_9,MCP_10,xIMS,BiasAware_1,BiasAware_2,BiasAware_3,BiasAware_4,BiasAware_4_REV,xBiasAware,IB_Know_1,IB_Know_2,IB_Know_3,xIBKnow,ArtCheck1,ArtCheck2,BiasDef,Job,MedicalProf,GunOwn,MarijuanaUse,Age,Gender,Gender_Recoded,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_6_TEXT,White_Nonwhite,Cons,Lib,Lib_REV,xCons,Party,Party_TEXT,Exclude,Suspicion,Feedback,Hype,Prev
53,-0.5,0,1,4,5,6,4,4,1,7,6,5.33,4,4,6,2,5,3,7,6,4,4.33,7,5,6,5,4,5.4,4,4,4,4,3,4,6,2,4,3.25,5,4,5,4,4,4,4.2,7,1,7,7,7,6,6.8,5,5,5,4,4,4.75,7,7,7,7,3,3,3,Retail sales,0,2,2,59,1,-0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,,Bias,2
54,-0.5,0,1,3,6,6,3,5,5,3,6,4.83,3,5,1,7,6,2,6,5,2,4.5,6,5,7,4,6,5.6,3,7,2,4,1,6,5,3,1,2.75,6,7,7,6,5,5,6,7,2,6,6,6,6,6.2,5,6,5,1,7,5.75,7,6,7,6.67,3,3,3,Video Editor,0,2,2,22,1,-0.5,0,0,1,0,0,0,,-0.5,7,2,6,6.5,2,,1,0,,,2
55,-0.5,0,1,7,7,7,6,2,1,7,7,6.17,1,7,1,7,1,7,7,7,7,7,7,7,7,6,7,6.8,4,5,4,4.33,5,4,3,5,3,4.25,5,7,7,7,5,7,6.6,7,1,7,5,5,6,6,4,5,6,1,7,5.5,7,5,5,5.67,3,3,3,LPN,1,2,2,29,2,0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,,,2
56,-0.5,0,1,4,5,5,3,5,3,5,4,4.67,6,2,6,2,6,2,6,5,5,3.67,6,3,6,2,3,4,2,2,2,2,4,4,6,2,4,3.5,4,2,4,5,2,2,3,6,2,6,6,6,6,6,4,2,2,4,4,3,5,5,7,5.67,3,3,3,engineer,0,1,1,50,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,Interesting! Have a nice day!,"I can't really say, but I'm certainly curious.",2
57,-0.5,0,1,5,5,5,2,6,5,3,6,5,3,5,3,5,6,2,6,5,2,4.17,6,6,6,6,6,6,6,6,6,6,5,5,3,5,5,5,6,6,6,6,6,6,6,7,3,5,7,6,7,6.4,3,5,5,3,5,4.5,3,3,3,3,2,3,3,Homemaker,0,1,2,26,2,0.5,0,0,1,0,0,0,,-0.5,5,5,3,4,3,,1,0,None,To see peoples biases,2
58,-0.5,0,1,3,4,6,3,5,1,7,4,4.83,1,7,1,7,1,7,2,7,2,5.33,7,1,7,1,1,3.4,7,5,7,6.33,3,3,7,1,3,2.5,6,5,2,4,1,6,3.6,7,1,7,7,6,7,6.8,2,2,1,3,5,2.5,2,1,4,2.33,3,3,3,marketing manager,0,2,2,30,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,2,,1,0,,no idea,3
59,-0.5,0,1,5,5,4,4,4,3,5,3,4.33,6,2,5,3,4,4,6,6,6,4.5,5,6,2,4,4,4.2,4,4,5,4.33,5,4,5,3,3,3.75,3,5,3,5,5,5,4.6,5,4,4,4,6,4,4.6,4,3,3,3,5,3.75,4,5,4,4.33,3,3,3,sales manager,0,2,2,30,2,0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,,bias,2
60,-0.5,0,1,7,7,7,1,7,1,7,7,7,1,7,1,7,1,7,7,7,7,7,7,7,7,6,6,6.6,7,7,7,7,4,5,5,3,6,4.5,7,6,7,7,7,6,6.6,7,5,3,7,7,7,6.2,5,6,1,4,4,4,5,5,5,5,3,3,3,supervisor,0,1,2,27,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,none,unsure,2
61,-0.5,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,healthcare,1,1,1,30,2,0.5,1,0,0,0,0,0,,0.5,4,4,4,4,1,,1,0,no,view people awareness of being bias,2
62,-0.5,0,1,7,7,7,1,7,1,7,7,7,1,7,1,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,6,2,2,2,2,2,2,2,2,2,2,6,2,6,6,6,6,6,2,2,2,6,2,2,6,6,6,6,1,3,3,agricultural manager,0,1,2,32,2,0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,None,Not sure,2
63,-0.5,0,1,5,7,7,1,7,1,7,7,6.67,3,5,3,5,3,5,7,7,7,6,7,7,7,5,1,5.4,7,6,5,6,2,3,6,2,2,2.25,7,1,1,7,1,1,2.2,7,1,7,7,7,7,7,5,6,5,1,7,5.75,7,7,7,7,3,3,3,it admin supervisor,0,1,1,37,2,0.5,0,0,1,0,0,0,,-0.5,2,7,1,1.5,3,,1,0,no,unsure,2
64,-0.5,0,1,5,6,6,2,6,4,4,6,5.5,2,6,2,6,1,7,7,6,7,6.5,4,5,5,4,5,4.6,6,6,6,6,4,3,6,2,2,2.75,4,4,2,2,4,2,2.8,6,3,5,6,5,6,5.6,2,3,2,6,2,2.25,5,5,5,5,3,3,3,Programmer,0,2,2,27,1,-0.5,0,1,0,0,0,0,,0.5,3,4,4,3.5,1,,1,0,It was interesting.,To find out if people think doctors with biases should be able to be doctors or not and if they should be punished or not if they show bias to patients.,2
65,-0.5,0,1,5,6,6,3,5,3,5,6,5.5,3,5,3,5,6,2,4,5,2,3.83,7,5,6,6,5,5.8,3,5,4,4,6,2,5,3,5,4,4,5,2,5,2,2,3.2,2,3,5,4,5,6,4.4,5,4,5,3,5,4.75,6,5,5,5.33,3,3,3,Entrepreneur,0,1,2,20,1,-0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,I've seen some of the bias questions before.,I don't know.,1
66,-0.5,0,1,6,6,6,3,5,3,5,6,5.67,5,3,5,3,6,2,7,6,3,4,7,3,6,3,3,4.4,4,5,2,3.67,5,5,3,5,5,5,5,2,1,6,2,2,2.6,7,1,7,7,7,7,7,6,2,3,5,3,3.5,7,7,7,7,3,3,3,Brand Ambassador,0,2,2,48,1,-0.5,0,0,1,0,0,0,,-0.5,1,6,2,1.5,3,,1,0,Thank you,To gauge understanding of implicit bias and how people view the bias of others.,2
67,-0.5,0,1,4,6,6,2,6,4,4,6,5.33,2,6,4,4,4,4,6,4,6,5,6,6,6,6,6,6,3,4,4,3.67,2,2,6,2,2,2,2,4,4,4,2,2,3.2,6,2,6,6,6,6,6,2,2,2,6,2,2,4,4,6,4.67,3,3,3,Medical Assistant,1,2,2,36,2,0.5,0,0,1,0,0,0,,-0.5,6,4,4,5,2,,1,0,,I think this study was to evaluate if individual's thought certain biases were acceptable behavior in Doctors.,2
68,-0.5,0,1,6,7,7,7,1,2,6,5,5.33,6,2,7,1,6,2,6,3,5,3.17,7,6,5,5,1,4.8,7,6,5,6,7,7,7,1,7,5.5,6,7,7,7,7,6,6.8,7,7,1,7,6,7,5.6,6,2,5,7,1,3.5,7,7,7,7,3,3,3,Deputy Court Clerk,0,2,2,30,1,-0.5,0,0,1,0,0,0,,-0.5,5,3,5,5,2,,1,0,No,Not sure,2
69,-0.5,0,1,5,6,5,2,6,3,5,7,5.67,4,4,3,5,5,3,5,6,5,4.67,6,4,5,5,6,5.2,5,6,6,5.67,5,3,4,4,5,4.25,5,5,5,5,5,3,4.6,7,2,6,7,6,6,6.4,5,5,6,2,6,5.5,7,7,6,6.67,3,3,3,policy,0,2,2,32,2,0.5,0,1,0,0,0,0,,0.5,2,6,2,2,1,,1,0,no,decision making,2
70,-0.5,0,1,3,3,6,4,4,5,3,5,4,4,4,4,4,3,5,7,4,7,5.17,4,4,3,6,4,4.2,5,5,3,4.33,4,4,3,5,4,4.25,3,3,4,3,6,4,4,4,3,5,5,3,3,4,4,4,3,6,2,3.25,5,5,5,5,3,3,3,Self Employed,0,2,2,27,1,-0.5,0,0,0,1,0,0,,0.5,3,5,3,3,1,,1,0,,,2
71,-0.5,0,1,7,7,7,1,7,1,7,7,7,1,7,1,7,5,3,7,7,7,6.33,7,7,7,4,7,6.4,1,5,1,2.33,1,1,7,1,1,1,1,1,1,1,1,1,1,7,1,7,7,7,4,6.4,1,1,1,7,1,1,5,5,6,5.33,3,3,3,service,0,2,2,22,1,-0.5,1,0,0,0,0,0,,0.5,4,4,4,4,3,,1,0,no,unsure,2
72,-0.5,0,1,5,6,6,3,5,7,1,5,4.67,5,3,7,1,6,2,2,6,4,3,5,6,7,3,6,5.4,1,6,5,4,5,4,4,4,6,4.75,6,2,5,6,5,6,4.8,1,2,6,5,5,6,4.6,5,5,5,4,4,4.75,1,4,4,3,3,3,3,Hospitality,0,2,2,33,1,-0.5,0,0,1,0,0,0,,-0.5,6,2,6,6,3,,1,0,None,Bias study,2
73,-0.5,0,1,6,6,5,2,6,5,3,6,5.33,2,6,3,5,3,5,7,7,7,6.17,6,4,6,3,1,4,5,6,5,5.33,5,5,3,5,5,5,6,2,2,5,2,2,2.6,6,2,6,6,6,6,6,3,5,5,3,5,4.5,5,5,5,5,3,3,3,customer service rep,0,2,1,31,1,-0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,,,2
74,-0.5,0,1,5,7,7,1,7,4,4,7,6.17,3,5,1,7,5,3,7,7,5,5.67,7,5,7,3,6,5.6,7,5,3,5,7,7,1,7,7,7,4,7,7,7,7,7,7,5,3,5,5,6,5,5.2,7,7,7,1,7,7,5,5,4,4.67,2,3,3,homemaker,0,2,1,42,2,0.5,0,0,1,0,0,0,,-0.5,6,6,2,4,3,,1,0,This was interesting. Thanks for letting me participate.,To study attitudes towards implicit bias.,2
75,-0.5,0,1,5,6,6,2,6,4,4,6,5.5,5,3,5,3,6,2,6,6,4,4,7,6,7,6,5,6.2,4,5,5,4.67,5,5,5,3,4,4.25,5,7,5,5,5,6,5.6,7,2,6,7,6,7,6.6,5,3,5,5,3,4,6,6,7,6.33,3,3,3,Homemaker,0,1,2,27,2,0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,,To see how people feel about biases.,2
76,-0.5,0,1,6,4,5,4,4,4,4,5,4.67,4,4,5,3,7,1,5,4,4,3.5,4,3,4,5,6,4.4,4,6,3,4.33,5,6,4,4,2,4.25,5,4,5,5,4,4,4.4,6,4,4,6,5,4,5,3,4,4,5,3,3.5,3,5,5,4.33,3,3,3,cad tech,0,1,1,33,1,-0.5,0,1,0,0,0,0,,0.5,5,4,4,4.5,2,,1,0,thank you,bias,2
77,-0.5,0,1,5,5,6,2,6,5,3,6,5.17,3,5,3,5,5,3,5,6,5,4.83,6,4,6,4,2,4.4,3,5,3,3.67,3,3,5,3,3,3,2,2,2,2,2,2,2,5,2,6,6,6,5,5.6,2,2,2,6,2,2,5,5,5,5,3,3,3,Support,0,2,2,39,2,0.5,0,0,1,0,0,0,,-0.5,5,5,3,4,1,,1,0,none,To see if your own biases made an impact on your answers.,2
78,-0.5,0,1,5,6,7,1,7,5,3,6,5.67,3,5,6,2,7,1,7,7,7,4.83,7,7,7,5,7,6.6,7,7,6,6.67,5,3,7,1,5,3.5,7,7,6,7,6,1,5.4,7,1,7,7,7,6,6.8,7,7,1,1,7,5.5,7,6,7,6.67,3,3,3,manager,0,2,2,46,2,0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,no,implicit bias,2
79,-0.5,0,1,7,6,6,1,7,1,7,7,6.67,3,5,5,3,6,2,7,7,7,5.17,7,7,7,6,7,6.8,7,7,7,7,2,2,6,2,2,2,6,2,2,1,1,1,1.4,6,1,7,7,7,6,6.6,2,2,2,6,2,2,7,7,7,7,3,3,3,local gvt clerk,0,2,1,53,2,0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,i'm a lesbian. i have experienced bias every time i go to a doctor,noidea,2
80,-0.5,0,1,5,6,7,2,6,3,5,5,5.67,2,6,3,5,4,4,6,6,6,5.5,5,6,6,4,6,5.4,5,5,4,4.67,5,5,4,4,5,4.75,5,5,5,5,6,3,4.8,5,2,6,5,5,5,5.2,5,5,5,3,5,5,6,6,6,6,3,3,3,homemaker,0,2,2,32,2,0.5,0,0,1,0,0,0,,-0.5,6,1,7,6.5,2,,1,0,,Thoughts on politics and bias,2
81,-0.5,0,1,4,4,6,4,4,5,3,6,4.5,5,3,5,3,5,3,4,4,4,3.5,5,5,5,5,2,4.4,5,4,4,4.33,5,5,3,5,5,5,6,6,4,6,5,3,4.8,6,2,6,6,6,6,6,4,4,4,4,4,4,5,5,5,5,3,3,3,independent contractor,0,2,2,33,2,0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,,bias,2
82,-0.5,0,1,4,5,4,3,5,3,5,5,4.67,4,4,4,4,5,3,5,5,4,4.17,5,4,5,2,4,4,4,4,5,4.33,4,1,4,4,4,3.25,2,4,4,4,4,4,4,5,2,6,5,4,5,5,3,3,3,4,4,3.25,1,4,4,3,3,3,3,Account Director,0,1,2,42,1,-0.5,0,0,1,0,0,0,,-0.5,2,2,6,4,3,,1,0,no,not sure,2
83,-0.5,0,1,5,4,4,3,5,3,5,3,4.33,4,4,3,5,3,5,3,4,4,4.17,3,3,3,3,4,3.2,3,4,3,3.33,3,3,3,5,4,3.75,3,4,4,4,3,4,3.8,3,3,5,3,2,4,3.4,3,3,4,3,5,3.75,3,3,3,3,3,3,3,art,0,2,2,28,1,-0.5,0,0,1,0,0,0,,-0.5,3,5,3,3,1,,1,0,no,ideoogical bias,2
84,-0.5,0,1,6,6,6,2,6,2,6,4,5.67,2,6,5,3,5,3,6,6,6,5,6,6,6,6,4,5.6,3,6,5,4.67,6,6,4,4,4,5,5,6,6,2,6,6,5.2,6,2,6,6,6,6,6,5,2,5,4,4,4,6,6,6,6,1,3,3,Host,0,2,1,21,1,-0.5,1,0,0,0,0,0,,0.5,3,5,3,3,1,,1,0,The study was straightforward and easy to follow,To understand how we view biases,2
85,-0.5,0,1,6,7,7,2,6,2,6,7,6.5,5,3,5,3,6,2,6,6,4,4,7,7,6,4,4,5.6,5,7,4,5.33,1,1,7,1,1,1,1,2,1,4,1,1,1.8,7,1,7,7,7,7,7,1,1,1,6,2,1.25,4,6,6,5.33,3,3,3,tradesman,0,2,2,30,1,-0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,3,,1,0,nope,no idea.,3
86,-0.5,0,1,5,5,5,6,2,3,5,5,4.5,5,3,5,3,5,3,6,5,6,4.33,5,3,5,3,3,3.8,4,6,3,4.33,5,5,3,5,5,5,3,2,2,2,2,2,2,7,3,5,7,5,7,6.2,6,5,6,2,6,5.75,6,6,6,6,3,3,3,bartender,0,2,2,62,1,-0.5,0,0,1,0,0,0,,-0.5,6,3,5,5.5,3,,1,0,no,I don't know,2
87,-0.5,0,1,6,7,7,2,6,3,5,7,6.33,3,5,5,3,6,2,7,6,1,4,7,6,7,2,3,5,2,6,2,3.33,6,5,3,5,6,5.5,6,7,7,7,6,5,6.4,7,1,7,7,7,7,7,3,3,3,5,3,3,2,6,6,4.67,3,3,3,Facilities Manager,0,1,2,52,2,0.5,0,0,1,0,0,0,,-0.5,2,7,1,1.5,1,,1,0,Thank you for using Mturk.,I think it was to make people more aware of subtle bias and how it may effect how they deal with people.,2
88,-0.5,0,1,4,5,5,6,2,3,5,5,4.33,5,3,5,3,5,3,4,5,4,3.67,6,6,6,5,6,5.8,5,5,6,5.33,4,2,3,5,3,3.5,3,3,3,3,4,3,3.2,3,2,6,5,4,4,4.4,2,3,3,2,6,3.5,6,5,6,5.67,3,3,3,scientific researcher,0,2,2,27,2,0.5,0,1,0,0,0,0,,0.5,4,4,4,4,3,,1,0,,,2
89,-0.5,0,1,7,7,7,1,7,1,7,7,7,1,7,1,7,1,7,7,7,7,7,6,3,7,3,3,4.4,5,7,5,5.67,2,1,1,7,1,2.75,1,4,4,4,4,4,4,7,1,7,7,7,7,7,1,1,1,7,1,1,7,7,5,6.33,1,3,3,Attorney,0,2,2,37,1,-0.5,0,0,1,0,0,0,,-0.5,6,2,6,6,2,,1,0,N/A,Perceptions about political bias,2
90,-0.5,0,1,4,5,3,3,5,3,5,5,4.5,6,2,4,4,1,7,3,3,4,3.83,2,5,5,4,3,3.8,5,5,3,4.33,4,3,5,3,6,4,6,5,5,7,5,3,5,2,4,4,6,5,4,4.2,3,6,4,2,6,4.75,3,5,5,4.33,1,2,4,employee,0,2,2,32,1,-0.5,0,0,1,0,0,0,,-0.5,5,7,1,3,1,,1,0,no,i dont know,2
91,-0.5,0,1,5,5,6,3,5,4,4,6,5.17,4,4,5,3,5,3,4,4,4,3.67,5,4,5,3,3,4,3,5,4,4,6,4,4,4,6,5,4,5,2,3,3,3,3.2,6,3,5,5,5,5,5.2,5,2,4,4,4,3.75,5,5,4,4.67,3,3,3,Painter,0,1,2,24,1,-0.5,0,0,1,0,0,0,,-0.5,5,4,4,4.5,3,,1,0,,What I think of bias.,3
92,-0.5,0,1,3,4,3,3,5,4,4,5,4,4,4,3,5,5,3,4,5,5,4.33,5,4,3,3,3,3.6,4,4,5,4.33,3,4,4,4,3,3.5,4,5,4,3,4,4,4,3,3,5,3,3,4,3.6,4,3,5,4,4,4,5,4,5,4.67,1,1,3,programmer,0,2,2,25,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,2,,2,0,,,2
93,-0.5,0,1,4,6,6,4,4,4,4,6,5,5,3,5,3,6,2,6,5,4,3.83,6,5,6,4,5,5.2,2,6,4,4,5,4,5,3,2,3.5,6,1,1,1,1,1,1,7,1,7,7,7,7,7,4,2,4,3,5,3.75,7,7,4,6,3,3,3,Library associate,0,1,2,42,2,0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,4,socialist,1,0,"The IAT is a rotten test.  It measures training, not bias.",you tell me.,3
94,-0.5,0,1,4,4,5,2,6,3,5,6,5,5,3,5,3,6,2,6,6,3,3.83,5,2,5,3,2,3.4,1,2,2,1.67,6,6,5,3,5,5,5,3,5,6,3,3,4,6,2,6,6,6,5,5.8,5,6,6,2,6,5.75,6,6,6,6,3,3,3,Retired,0,1,2,61,1,-0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,None,Implicit bias,2
95,-0.5,0,1,6,7,5,2,6,2,6,6,6,5,3,5,3,5,3,7,7,7,5,6,5,6,2,2,4.2,3,5,5,4.33,2,2,7,1,2,1.75,1,1,1,1,1,1,1,7,1,7,7,7,7,7,1,5,5,1,7,4.5,7,7,7,7,3,3,3,mom,0,1,2,32,2,0.5,0,0,1,0,1,0,,0.5,1,7,1,1,3,,1,0,thank you,how bias affects judgment,3
96,-0.5,0,1,5,5,7,3,5,5,3,7,5.33,5,3,4,4,5,3,4,3,4,3.5,3,1,4,4,1,2.6,1,1,1,1,4,5,2,6,4,4.75,1,7,5,7,7,5,6.2,4,4,4,4,3,3,3.6,6,1,1,4,4,3,7,7,3,5.67,3,3,3,restaurant manager,0,2,2,52,2,0.5,0,0,1,0,0,0,,-0.5,7,1,7,7,2,,1,0,Isn't it more likely that doctors were biased against marijuana users because it is a health issue? Whereas gun ownership is not related to body health.,Seeing bias everywhere instead of seeing obvious facts.,2
97,-0.5,0,1,1,1,6,1,7,1,7,1,3.83,7,1,7,1,7,1,1,1,1,1,7,4,1,1,1,2.8,4,1,1,2,1,1,7,1,1,1,1,1,1,1,1,1,1,7,1,7,7,7,1,5.8,1,1,1,7,1,1,7,7,4,6,3,3,3,Virtual Assistant,0,1,2,24,2,0.5,1,0,0,0,0,0,,0.5,4,4,4,4,1,,1,0,,,2
98,-0.5,0,1,5,3,4,5,3,6,2,5,3.67,5,3,3,5,6,2,4,5,2,3.5,5,4,3,6,5,4.6,4,5,3,4,5,5,3,5,4,4.75,5,4,3,5,4,3,3.8,4,5,3,5,4,2,3.6,7,4,5,5,3,4.75,7,3,6,5.33,3,3,3,IT Specialist,0,2,2,21,1,-0.5,0,0,1,0,0,0,,-0.5,6,3,5,5.5,2,,1,0,N/A.,To gauge people's reactions/responses to doctor's treatments/bias'.,2
99,-0.5,0,1,1,2,4,2,6,5,3,5,3.5,3,5,4,4,4,4,5,3,3,4,3,4,6,2,1,3.2,6,2,4,4,3,2,3,5,5,3.75,4,5,2,2,2,2,2.6,7,3,5,2,3,1,3.6,5,2,3,3,5,3.75,4,3,2,3,2,2,3,Student,0,2,2,19,1,-0.5,0,0,1,0,0,0,,-0.5,1,6,2,1.5,3,,1,0,,,2
100,-0.5,0,1,3,3,4,4,4,4,4,4,3.67,4,4,4,4,4,4,4,4,4,4,3,2,3,3,1,2.4,2,3,3,2.67,4,5,4,4,4,4.25,4,4,4,3,4,4,3.8,4,4,4,4,4,4,4,4,3,3,5,3,3.25,4,4,4,4,3,3,4,Parent,0,2,2,29,2,0.5,0,0,1,0,0,0,,-0.5,2,2,6,4,1,,2,0,"The article did not appear and when I right clicked on the broken picture thingy it to view it, it pulled up a window that said: ""Amazon S3 is Down""",Unsure,2
101,-0.5,0,1,4,5,5,5,3,5,3,5,4.17,5,3,5,3,5,3,5,5,5,4,5,4,4,4,4,4.2,4,3,3,3.33,4,2,6,2,4,3,2,2,3,3,2,2,2.4,3,2,6,6,5,6,5.2,2,2,4,6,2,2.5,6,6,6,6,3,3,3,clerical support,0,2,1,56,2,0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,very interesting study.,To see how people are biased towards groups,2
102,-0.5,0,1,6,6,6,2,6,3,5,6,5.83,3,5,3,5,6,2,7,5,3,4.5,7,6,6,4,3,5.2,5,6,5,5.33,5,5,2,6,5,5.25,6,5,5,6,5,5,5.2,7,1,7,7,7,7,7,6,6,6,2,6,6,6,6,6,6,2,3,3,Marketing account coordinator,0,2,2,27,2,0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,,,2
103,-0.5,0,1,7,7,7,1,7,3,5,7,6.67,1,7,1,7,4,4,7,7,7,6.5,7,7,7,6,4,6.2,4,7,7,6,5,5,3,5,4,4.75,4,7,6,6,4,4,5.4,7,2,6,7,7,7,6.8,5,4,5,4,4,4.5,6,6,6,6,3,3,3,Timber Buyer,0,1,1,58,2,0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,no,Political Bias in people.,2
104,-0.5,0,1,6,7,7,1,7,2,6,7,6.67,5,3,5,3,7,1,7,5,2,3.5,7,6,7,2,2,4.8,2,7,3,4,7,7,1,7,7,7,7,1,5,4,5,4,3.8,4,1,7,6,7,6,6,6,3,5,1,7,5.25,6,6,7,6.33,3,3,3,Manufacturing Incense,0,2,2,26,2,0.5,1,0,0,0,0,0,,0.5,2,5,3,2.5,1,,1,0,,,2
105,-0.5,0,1,4,4,4,6,2,6,2,4,3.33,6,2,2,6,2,6,7,6,4,5.17,6,6,6,6,7,6.2,6,6,4,5.33,1,1,7,1,1,1,1,7,7,2,6,2,4.8,6,1,7,5,6,6,6,6,6,2,7,1,3.75,2,6,7,5,3,2,4,mturk,0,2,2,25,1,-0.5,0,0,0,1,0,0,,0.5,2,6,2,2,1,,1,0,no issues,Information & Opinions,2
106,-0.5,0,1,7,6,7,1,7,7,1,7,5.83,5,3,3,5,3,5,6,7,7,5.5,6,6,6,6,6,6,7,7,7,7,4,6,3,5,4,4.75,4,5,4,4,4,4,4.2,4,4,4,4,4,4,4,4,4,5,4,4,4.25,5,5,5,5,3,3,3,Accounts Payable,0,2,1,27,1,-0.5,0,0,1,0,0,0,,-0.5,5,6,2,3.5,3,,1,0,No,People's reactions toward the implicit biases of doctors,2
107,-0.5,0,1,5,5,5,3,5,2,6,6,5.33,2,6,2,6,6,2,6,7,6,5.5,7,6,7,4,2,5.2,3,5,4,4,5,5,5,3,5,4.5,3,5,6,5,3,3,4.4,7,3,5,7,7,7,6.6,6,6,6,3,5,5.75,2,4,4,3.33,3,3,3,Employed- Office Assistant,0,2,2,28,1,-0.5,0,0,1,0,0,0,,-0.5,3,5,3,3,1,,1,0,Makes me feel like an awful person for admitting.,about bias,2
108,-0.5,0,1,4,4,4,4,4,7,1,5,3.67,6,2,5,3,6,2,2,5,2,2.67,5,5,5,5,5,5,1,1,1,1,1,1,5,3,1,1.5,1,4,4,1,3,5,3.4,4,1,7,7,3,4,5,1,1,1,5,3,1.5,1,1,1,1,3,3,4,supervisor,0,2,2,40,2,0.5,0,0,1,0,0,0,,-0.5,7,1,7,7,2,,1,0,no,biases,2
109,-0.5,0,1,7,6,7,1,7,2,6,7,6.67,2,6,1,7,1,7,7,7,7,6.83,6,6,6,7,6,6.2,5,6,6,5.67,5,1,1,7,5,4.5,2,5,3,6,5,3,4.4,6,2,6,7,6,6,6.2,2,3,2,6,2,2.25,6,6,5,5.67,3,3,3,Financial Advisor,0,2,2,26,1,-0.5,0,0,1,0,0,0,,-0.5,3,6,2,2.5,1,,1,0,Unique study,How biases affect our opinions of caretakers in society,2
